text
"###Human: If there is no bus master, the standby computer shall become the bus master. ###Assistant: (No bus master--> (standby computer becomes bus master within 2 time units))"
"###Human: If bus master fails, the standby computer shall become the bus master within 2-time units. ###Assistant: (No bus master--> (standby computer becomes bus master within 2 time units))"
"###Human: During takeoff, the Flight Computer shall release wheel brakes only if the health checks are successful. ###Assistant: (During takeoff--> (Flight Computer released wheel brakes --> health checks are successful))"
"###Human: At any time, the Flight Computer shall consider the failure of INS, Air data system, actuation system, power system, communication system, or engine as a critical failure. ###Assistant: Critical Failure = Failure of INS or Failure of Air data sensor or Failure of Actuator or Failure of Power System or Failure of communication system or Failure of engine"
"###Human: During takeoff, if a critical failure is detected, the Flight Computer shall abort the takeoff shall only if the current speed is less than V1. ###Assistant: (During takeoff and Critical failure detected)-->(takeoff aborted --> current speed < V1)"
"###Human: During takeoff, if a critical failure is detected, the Flight Computer shall abort the takeoff  if and only if the current speed is less than V1. ###Assistant: (During takeoff and Critical failure detected)<-->(takeoff aborted --> current speed < V1)"
###Human: Payload devices shall be turned off if the bus voltage is less than 26 volts continuously for 100-time units. ###Assistant: (bus voltage < 26 volts persists for 100 time units) --> Payload devices turned off
"###Human: During takeoff, landing gear shall be retracted only if the altitude is more than 100 meters. ###Assistant: During takeoff --> (landing gear retracted --> Altitude > 100 meters)"
###Human: Failure of the sensor in INS shall be considered a permanent failure of the INS ###Assistant: Failure of the sensor --> (from the next instance) Failure of the INS (even if sensor failure recovers)
"###Human: When the Computer boots up, the Computer shall read the Channel ID from HW. ###Assistant: Computer boots up --> (from the next instance) Read channel ID from HW"
"###Human: When the Computer boots up, if the other Computer has not already assumed the role of Active computer, the Computer shall assume the role of Active Computer. ###Assistant: (Computer boots up and (other computer has not already assumed the role of Active Computer)) --> (from the next instance) The computer assumes the role of Active Computer"
###Human: The Active Computer shall configure itself as the Bus Master. ###Assistant: Active Computer --> this computer is bus master
"###Human: During takeoff, if auto takeoff is selected, if the cross-track error from the runway center line exceeds 10 meters continuously for 300 samples, the Flight Computer shall abort the takeoff only if the current speed is less than V1. ###Assistant: (During takeoff and auto takeoff selected and (cross-track error from runway center line > 10 meters persists for 300 samples))-->(takeoff aborted --> current speed < V1)"
"###Human: During takeoff, the AIA (Aircraft In Air) is set to be true if at least 2 out of the 3 WOW (Weight On Wheel) Switches read false persistently for 10 samples. ###Assistant: During takeoff --> ((at least 2 out of the 3 WOW Switches read false persists for 10 samples) --> AIA set to true)"
